unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1513555200000,2017-12-18 0:00:00,BTC/USDT,18860.04,19300,17029.98,18856.25,10624.63307,196339245.7,91956
1513641600000,2017-12-19 0:00:00,BTC/USDT,18856.25,18950,16300,17295.2,13210.74822,232790625.9,116569
1513728000000,2017-12-20 0:00:00,BTC/USDT,17295.2,17720.35,14777.66,16488.98,13450.49669,221193892.5,129762
1513814400000,2017-12-21 0:00:00,BTC/USDT,16480.52,17309.5,14022,15492.64,20324.2173,320176825.3,117731
1513900800000,2017-12-22 0:00:00,BTC/USDT,15514.03,15699.34,10961,13326.61,36076.27118,477509934.7,243261
1513987200000,2017-12-23 0:00:00,BTC/USDT,13326.61,14950,12978.18,13300,13141.53888,184759685.3,135005
1514073600000,2017-12-24 0:00:00,BTC/USDT,13300,13819.99,11640,13500,28557.53499,365709589.6,173557
1514160000000,2017-12-25 0:00:00,BTC/USDT,13500,14300,12708,13699.34,15748.20761,213139657.6,116416
1514246400000,2017-12-26 0:00:00,BTC/USDT,13699.34,16050,13533,15689.01,15034.6681,224843731.9,133133
1514332800000,2017-12-27 0:00:00,BTC/USDT,15709.98,16498.05,14200.15,15459.99,14959.86472,231229932.5,142202
1514419200000,2017-12-28 0:00:00,BTC/USDT,15459.97,15539.99,13150,14182.11,21717.85801,303401228,178032
1514505600000,2017-12-29 0:00:00,BTC/USDT,14199.14,14981,13850,14378.9,18072.00812,260911629.2,142100
1514592000000,2017-12-30 0:00:00,BTC/USDT,14378.99,14398.85,11750,12440.01,19221.15804,247803953.8,190204
1514678400000,2017-12-31 0:00:00,BTC/USDT,12345.1,14050.11,12149.98,13716.36,11768.98972,155283285.4,138893
1514764800000,2018-01-01 0:00:00,BTC/USDT,13715.65,13818.55,12750,13380,8609.915844,114799747.4,105595
1514851200000,2018-01-02 0:00:00,BTC/USDT,13382.16,15473.49,12890.02,14675.11,20078.09211,279717107.4,177728
1514937600000,2018-01-03 0:00:00,BTC/USDT,14690,15307.56,14150,14919.51,15905.66764,236116868.3,162787
1515024000000,2018-01-04 0:00:00,BTC/USDT,14919.51,15280,13918.04,15059.54,21329.64957,312781583.8,170310
1515110400000,2018-01-05 0:00:00,BTC/USDT,15059.56,17176.24,14600,16960.39,23251.49113,369321956.5,192969
1515196800000,2018-01-06 0:00:00,BTC/USDT,16960.39,17143.13,16011.21,17069.79,18571.45751,309216921,158242
1515283200000,2018-01-07 0:00:00,BTC/USDT,17069.79,17099.96,15610,16150.03,12493.12556,206194706.4,120269
1515369600000,2018-01-08 0:00:00,BTC/USDT,16218.85,16322.3,12812,14902.54,26600.60991,396569997.2,208642
1515456000000,2018-01-09 0:00:00,BTC/USDT,14902.54,15500,14011.05,14400,14315.00425,210630187.5,156656
1515542400000,2018-01-10 0:00:00,BTC/USDT,14401,14955.66,13131.31,14907.09,17411.00166,244011366.8,161476
1515628800000,2018-01-11 0:00:00,BTC/USDT,14940,14968.68,11400,13238.78,33554.72375,446587594.7,239416
1515715200000,2018-01-12 0:00:00,BTC/USDT,13238.76,14109.78,12500,13740.01,16417.16214,222516076.3,134452
1515801600000,2018-01-13 0:00:00,BTC/USDT,13749.95,14580,13706.15,14210,12221.50853,173086488.5,123639
1515888000000,2018-01-14 0:00:00,BTC/USDT,14210,14339.5,12569.2,13474.99,17017.89433,226525305.1,152364
1515974400000,2018-01-15 0:00:00,BTC/USDT,13477.98,14249.99,13147.79,13539.93,14652.09471,200614554.5,145362
1516060800000,2018-01-16 0:00:00,BTC/USDT,13500,13542.93,9035,10900,63401.16918,722150828.1,418243
1516147200000,2018-01-17 0:00:00,BTC/USDT,10899.99,11680.99,9037.94,10988.79,72331.79665,744154180.1,517293
1516233600000,2018-01-18 0:00:00,BTC/USDT,10972.59,11878.82,10435.33,10961.97,48464.43494,541289614.1,393112
1516320000000,2018-01-19 0:00:00,BTC/USDT,10960,11795,10360,11474.98,34129.37542,382773499.2,273271
1516406400000,2018-01-20 0:00:00,BTC/USDT,11474.98,13099,11412.45,12799.94,28768.85783,358561107.8,251647
1516492800000,2018-01-21 0:00:00,BTC/USDT,12799.8,12799.8,10965,11530,41379.77343,485289230.8,360207
1516579200000,2018-01-22 0:00:00,BTC/USDT,11530,11926.35,9900.24,10760.05,43752.60679,475716514.2,363264
1516665600000,2018-01-23 0:00:00,BTC/USDT,10760.05,11399,9905,10799.18,37473.92255,399419413.2,355286
1516752000000,2018-01-24 0:00:00,BTC/USDT,10799.14,11570.48,10500,11349.99,27158.58776,299470607.4,293429
1516838400000,2018-01-25 0:00:00,BTC/USDT,11349.96,11794.05,10950.21,11175.27,20839.95418,236081365,221040
1516924800000,2018-01-26 0:00:00,BTC/USDT,11184.7,11643,10311.15,11089,33056.87196,360482470.2,314720
