unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1513555200000,2017-12-18 0:00:00,ETH/USDT,707.62,798.88,638,784,45673.70777,32799947.57,40460
1513641600000,2017-12-19 0:00:00,ETH/USDT,784,864.9,729.01,798,69423.62125,55123972.02,57020
1513728000000,2017-12-20 0:00:00,ETH/USDT,798,828,661,790.21,72526.28416,55604509.75,58344
1513814400000,2017-12-21 0:00:00,ETH/USDT,794.62,845.99,705.98,782.41,78222.53998,62052521.65,57627
1513900800000,2017-12-22 0:00:00,ETH/USDT,784,796,504.99,635.97,154630.4948,98661808.48,113138
1513987200000,2017-12-23 0:00:00,ETH/USDT,635.15,714.99,627.97,640.34,79001.05634,53738833.88,79260
1514073600000,2017-12-24 0:00:00,ETH/USDT,640.33,667.64,563.49,658,95431.94156,59101715.15,108808
1514160000000,2017-12-25 0:00:00,ETH/USDT,659.4,744,599.99,714.95,78544.84102,55108579.68,86060
1514246400000,2017-12-26 0:00:00,ETH/USDT,713.12,750,712.56,750,60052.47905,44216631.9,78690
1514332800000,2017-12-27 0:00:00,ETH/USDT,750,766.05,693.18,739.89,51339.2782,38102246.99,72364
1514419200000,2017-12-28 0:00:00,ETH/USDT,739.89,744.93,645.88,707.89,72679.61288,50030889.11,94413
1514505600000,2017-12-29 0:00:00,ETH/USDT,709.5,757.87,703,733.99,64028.12647,46838775.82,89024
1514592000000,2017-12-30 0:00:00,ETH/USDT,732.9,735,635.82,681.06,89879.99994,61752153.66,123765
1514678400000,2017-12-31 0:00:00,ETH/USDT,680.01,740,672.86,733.98,62628.24458,44570894.8,92610
1514764800000,2018-01-01 0:00:00,ETH/USDT,733.01,763.55,716.8,754.99,53909.25885,40049370.59,75314
1514851200000,2018-01-02 0:00:00,ETH/USDT,754.99,899.5,749.06,855.28,113257.7836,95749946.06,142511
1514937600000,2018-01-03 0:00:00,ETH/USDT,855.13,950.01,810,934.03,89041.45688,78173093.71,118866
1515024000000,2018-01-04 0:00:00,ETH/USDT,934.03,1009.72,890.01,940,102894.4738,97740086.59,132633
1515110400000,2018-01-05 0:00:00,ETH/USDT,940,1045,930,959.3,97374.0163,95739901.48,124438
1515196800000,2018-01-06 0:00:00,ETH/USDT,958,1017.56,950,1004.11,71954.27895,71196052.34,91685
1515283200000,2018-01-07 0:00:00,ETH/USDT,1003.71,1125,999.9,1123.09,65278.81957,70126945.17,89192
1515369600000,2018-01-08 0:00:00,ETH/USDT,1123.09,1239.18,910,1133.18,158831.548,176599793.2,171664
1515456000000,2018-01-09 0:00:00,ETH/USDT,1133.18,1326.5,1104.85,1291,118702.8868,143246762.1,152628
1515542400000,2018-01-10 0:00:00,ETH/USDT,1291,1440,1201.1,1247,160185.0129,210902815.5,191352
1515628800000,2018-01-11 0:00:00,ETH/USDT,1249.03,1332.49,1021,1138.93,194546.2939,230792205.9,210914
1515715200000,2018-01-12 0:00:00,ETH/USDT,1136.45,1288.5,1069.01,1253.87,93763.47261,113367281.8,117851
1515801600000,2018-01-13 0:00:00,ETH/USDT,1253.87,1427.01,1252,1388.02,75893.43201,101824625.3,115872
1515888000000,2018-01-14 0:00:00,ETH/USDT,1388.1,1391.89,1220.89,1347,98391.19585,128517479.7,124920
1515974400000,2018-01-15 0:00:00,ETH/USDT,1347.99,1383.13,1258.12,1271,69236.70476,90732886.24,105410
1516060800000,2018-01-16 0:00:00,ETH/USDT,1268.67,1275.01,780,1000,343889.3651,355819297.5,304696
1516147200000,2018-01-17 0:00:00,ETH/USDT,999.99,1075.51,755,1000,436333.6733,398063123.7,391331
1516233600000,2018-01-18 0:00:00,ETH/USDT,1000,1075.2,924.21,994,294545.7121,296964713.7,278162
1516320000000,2018-01-19 0:00:00,ETH/USDT,993.3,1079,941,1032.5,167954.1125,171217738.3,171662
1516406400000,2018-01-20 0:00:00,ETH/USDT,1032.5,1165.4,1031,1152.75,123352.5836,137333158.1,139129
1516492800000,2018-01-21 0:00:00,ETH/USDT,1150.37,1152.69,998,1049,175031.0079,186353755.6,189013
1516579200000,2018-01-22 0:00:00,ETH/USDT,1049,1090.15,908,993,185212.52,185276703.4,200594
1516665600000,2018-01-23 0:00:00,ETH/USDT,993,1030,909,980,160159.6396,156053774.3,188114
1516752000000,2018-01-24 0:00:00,ETH/USDT,981.2,1074,953.09,1061,134257.7947,135793371.3,164024
1516838400000,2018-01-25 0:00:00,ETH/USDT,1060.34,1115,1030.26,1056.52,119415.935,127855243.2,140455
1516924800000,2018-01-26 0:00:00,ETH/USDT,1055.29,1082,986,1051.03,145113.638,150237011.3,168271
1517011200000,2018-01-27 0:00:00,ETH/USDT,1051.03,1127.99,1032.2,1118.99,96894.33839,105043056.4,130125
