unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1513555200000,2017-12-18 0:00:00,LTC/USDT,311.23,360.96,277,352,17210.06137,5445727.669,10773
1513641600000,2017-12-19 0:00:00,LTC/USDT,352,366.96,303.01,338.48,23190.32542,7853537.978,14897
1513728000000,2017-12-20 0:00:00,LTC/USDT,336.05,357,260,302.7,31586.76711,9862312.579,15986
1513814400000,2017-12-21 0:00:00,LTC/USDT,303.8,325.16,267.01,302,26212.1583,7792715.351,15163
1513900800000,2017-12-22 0:00:00,LTC/USDT,303,315,177.58,250.99,81233.42425,19331731.11,33250
1513987200000,2017-12-23 0:00:00,LTC/USDT,250.99,301.52,214.91,253.44,38709.14008,10424037.06,19966
1514073600000,2017-12-24 0:00:00,LTC/USDT,253.44,277,220.03,262.9,33435.37202,8272835.264,21908
1514160000000,2017-12-25 0:00:00,LTC/USDT,262.9,277.5,251.4,261.2,24415.6917,6464612.037,15740
1514246400000,2017-12-26 0:00:00,LTC/USDT,261.17,282.82,258,277.98,21987.89021,5985168.513,16186
1514332800000,2017-12-27 0:00:00,LTC/USDT,277.98,284.34,245.29,262.59,25036.78582,6741018.673,17691
1514419200000,2017-12-28 0:00:00,LTC/USDT,262.61,266.7,222.03,244.68,34832.27138,8365398.227,21854
1514505600000,2017-12-29 0:00:00,LTC/USDT,244.68,261,233.97,238.27,34985.03167,8540220.645,23777
1514592000000,2017-12-30 0:00:00,LTC/USDT,238.27,244,193.2,206.03,52930.1782,11334425.4,33492
1514678400000,2017-12-31 0:00:00,LTC/USDT,206.11,234.37,202.98,223.69,29739.10081,6491443.677,21567
1514764800000,2018-01-01 0:00:00,LTC/USDT,223.69,231.19,212.74,222.61,20221.253,4495346.594,17150
1514851200000,2018-01-02 0:00:00,LTC/USDT,222.62,256.49,222.62,247.33,63293.12934,15468084.21,34824
1514937600000,2018-01-03 0:00:00,LTC/USDT,247.33,253.4,233.56,238.77,71369.27484,17455596.19,37685
1515024000000,2018-01-04 0:00:00,LTC/USDT,238.89,240,219.38,233,78182.30493,17951834.04,43209
1515110400000,2018-01-05 0:00:00,LTC/USDT,233.04,250.99,230,240.54,65010.14465,15696625.24,30382
1515196800000,2018-01-06 0:00:00,LTC/USDT,240.95,315,238.73,275.28,100812.2137,28259590.95,41513
1515283200000,2018-01-07 0:00:00,LTC/USDT,276.24,287,262,269.01,43811.61108,12078548.84,23777
1515369600000,2018-01-08 0:00:00,LTC/USDT,269.01,271.82,212.74,252.65,76256.97086,19095109.76,33866
1515456000000,2018-01-09 0:00:00,LTC/USDT,252.49,257.64,228.24,244.48,53921.90417,13345180.46,25770
1515542400000,2018-01-10 0:00:00,LTC/USDT,244.56,248.99,225.05,247.63,70931.30085,16870783.61,29781
1515628800000,2018-01-11 0:00:00,LTC/USDT,247.63,252.27,195.03,223.77,83842.47294,19073326.49,37597
1515715200000,2018-01-12 0:00:00,LTC/USDT,223.76,240.45,213.01,233.11,45676.80703,10548375.59,22683
1515801600000,2018-01-13 0:00:00,LTC/USDT,233.11,263.99,232.54,257.98,42811.12858,10476151.19,20564
1515888000000,2018-01-14 0:00:00,LTC/USDT,257.98,271.64,222,234.12,62203.40257,15137840.87,26501
1515974400000,2018-01-15 0:00:00,LTC/USDT,234.26,242.31,227.6,229.5,35755.94861,8398319.524,18021
1516060800000,2018-01-16 0:00:00,LTC/USDT,229.5,242,135.67,179.28,150044.0732,28582968.28,49964
1516147200000,2018-01-17 0:00:00,LTC/USDT,179.28,198.89,136.2,182.44,155640.0092,26395093.96,51587
1516233600000,2018-01-18 0:00:00,LTC/USDT,183.45,202.19,170.5,186.14,98372.75595,18512748.89,37258
1516320000000,2018-01-19 0:00:00,LTC/USDT,186.21,199,176.04,191.42,59369.45319,11209086.55,24967
1516406400000,2018-01-20 0:00:00,LTC/USDT,191.44,215,190.67,210.4,59162.64755,12075942.51,24687
1516492800000,2018-01-21 0:00:00,LTC/USDT,210.05,210.69,180,190.16,64817.00761,12460823.87,28336
1516579200000,2018-01-22 0:00:00,LTC/USDT,190.52,195,163.44,178,60376.3605,10811398.77,26955
1516665600000,2018-01-23 0:00:00,LTC/USDT,178,186.42,163.02,176.98,49510.38638,8716023.117,23619
1516752000000,2018-01-24 0:00:00,LTC/USDT,176.94,186.3,171.58,180.89,43298.498,7744819.23,21988
1516838400000,2018-01-25 0:00:00,LTC/USDT,180.83,186,175.58,179.59,39819.99079,7216982.008,16942
1516924800000,2018-01-26 0:00:00,LTC/USDT,179,183.06,165,177.09,49473.65655,8624749.655,19450
1517011200000,2018-01-27 0:00:00,LTC/USDT,175.73,184,173,182.1,31424.8731,5654927.149,14128
1517097600000,2018-01-28 0:00:00,LTC/USDT,182.11,198,181.7,196.74,47275.56346,8994922.714,20582
