unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1525392000000,2018-05-04 0:00:00,XRP/USDT,0.5,1.5,0.5,0.8899,20890213.82,18946724.69,37492
1525478400000,2018-05-05 0:00:00,XRP/USDT,0.8898,0.935,0.888,0.9028,16816165.3,15282000.08,26476
1525564800000,2018-05-06 0:00:00,XRP/USDT,0.9028,0.918,0.83774,0.86483,16002035.8,13997141.56,28713
1525651200000,2018-05-07 0:00:00,XRP/USDT,0.86482,0.86886,0.8,0.8249,17303486.4,14192279.73,29174
1525737600000,2018-05-08 0:00:00,XRP/USDT,0.8249,0.84802,0.792,0.80667,12971303.18,10571844.13,23010
1525824000000,2018-05-09 0:00:00,XRP/USDT,0.80667,0.81894,0.7569,0.79481,13982375.89,11014807.24,26971
1525910400000,2018-05-10 0:00:00,XRP/USDT,0.79481,0.80572,0.74085,0.74558,10136895.73,7949198.409,20175
1525996800000,2018-05-11 0:00:00,XRP/USDT,0.7492,0.75602,0.64758,0.6761,31292480.04,21611338.05,50248
1526083200000,2018-05-12 0:00:00,XRP/USDT,0.67376,0.71,0.62519,0.68522,18181151.11,12223888.84,33907
1526169600000,2018-05-13 0:00:00,XRP/USDT,0.68192,0.7501,0.66456,0.72999,17521261.77,12503150.52,29953
1526256000000,2018-05-14 0:00:00,XRP/USDT,0.72999,0.7499,0.68585,0.72694,21771364.96,15661876.54,35859
1526342400000,2018-05-15 0:00:00,XRP/USDT,0.72695,0.74892,0.6801,0.689,12951988.45,9315740.473,22403
1526428800000,2018-05-16 0:00:00,XRP/USDT,0.689,0.712,0.65756,0.70585,11182432.7,7602189.992,18836
1526515200000,2018-05-17 0:00:00,XRP/USDT,0.70942,0.712,0.6482,0.65849,10070061.14,6897498.182,17108
1526601600000,2018-05-18 0:00:00,XRP/USDT,0.65849,0.68255,0.646,0.67766,10140675.13,6745876.692,17434
1526688000000,2018-05-19 0:00:00,XRP/USDT,0.67698,0.69139,0.6611,0.67339,6854397.75,4624460.531,11991
1526774400000,2018-05-20 0:00:00,XRP/USDT,0.67483,0.70659,0.668,0.6994,8055673.92,5558451.016,15301
1526860800000,2018-05-21 0:00:00,XRP/USDT,0.6994,0.705,0.66666,0.67612,7908213.57,5420030.289,15647
1526947200000,2018-05-22 0:00:00,XRP/USDT,0.67612,0.67817,0.635,0.63782,7567010.71,4982003.425,14642
1527033600000,2018-05-23 0:00:00,XRP/USDT,0.63782,0.64488,0.5731,0.59198,20078062.21,12176385.09,31407
1527120000000,2018-05-24 0:00:00,XRP/USDT,0.59053,0.64,0.57617,0.62814,14214140.1,8700112.876,24696
1527206400000,2018-05-25 0:00:00,XRP/USDT,0.62966,0.63391,0.59336,0.60459,20060607.91,12208461.53,22182
1527292800000,2018-05-26 0:00:00,XRP/USDT,0.60596,0.62618,0.59771,0.60852,25800066.42,15835491.89,20665
1527379200000,2018-05-27 0:00:00,XRP/USDT,0.60907,0.648,0.59705,0.60416,23735080.8,14343498.07,17852
1527465600000,2018-05-28 0:00:00,XRP/USDT,0.60417,0.6091,0.5434,0.54689,29854808.11,17222339.89,26621
1527552000000,2018-05-29 0:00:00,XRP/USDT,0.54689,0.60921,0.54303,0.59998,30948291.22,17917595.54,27166
1527638400000,2018-05-30 0:00:00,XRP/USDT,0.5997,0.626,0.58101,0.60149,31305613.07,18886579.36,25759
1527724800000,2018-05-31 0:00:00,XRP/USDT,0.60051,0.62255,0.58829,0.6114,33579966.89,20482812.81,28332
1527811200000,2018-06-01 0:00:00,XRP/USDT,0.6114,0.62428,0.6024,0.62151,34403361.87,21071397.53,26882
1527897600000,2018-06-02 0:00:00,XRP/USDT,0.62236,0.65204,0.61513,0.64269,37211532.2,23702560.12,30570
1527984000000,2018-06-03 0:00:00,XRP/USDT,0.64285,0.69101,0.63862,0.6901,37142715.53,24486265.64,34763
1528070400000,2018-06-04 0:00:00,XRP/USDT,0.6901,0.707,0.6351,0.65507,48289982.65,32100617.09,51519
1528156800000,2018-06-05 0:00:00,XRP/USDT,0.65508,0.686,0.6328,0.67464,42509387.77,28070582.13,39571
1528243200000,2018-06-06 0:00:00,XRP/USDT,0.67507,0.6833,0.653,0.6741,34326183.79,22997564.65,31424
1528329600000,2018-06-07 0:00:00,XRP/USDT,0.6738,0.69,0.67089,0.67756,35031819.04,23809284.71,28989
1528416000000,2018-06-08 0:00:00,XRP/USDT,0.6777,0.68,0.65832,0.6721,32089604.02,21502857.32,22990
1528502400000,2018-06-09 0:00:00,XRP/USDT,0.67211,0.68,0.65514,0.6574,31323211.84,20988079.87,19776
1528588800000,2018-06-10 0:00:00,XRP/USDT,0.65687,0.6585,0.55,0.58201,47688606.63,28984633.46,45053
1528675200000,2018-06-11 0:00:00,XRP/USDT,0.58202,0.6,0.56,0.59989,23744329.91,13711198.3,26713
1528761600000,2018-06-12 0:00:00,XRP/USDT,0.59901,0.5991,0.5415,0.5556,29332950.65,16778215.95,27017
1528848000000,2018-06-13 0:00:00,XRP/USDT,0.5556,0.56124,0.50401,0.52862,36877773.15,19678707.39,30883
1528934400000,2018-06-14 0:00:00,XRP/USDT,0.52863,0.569,0.51934,0.55769,35000456.5,19168374.22,28822
1529020800000,2018-06-15 0:00:00,XRP/USDT,0.55765,0.55927,0.52447,0.53258,25702497.7,14014574.41,21219
1529107200000,2018-06-16 0:00:00,XRP/USDT,0.53224,0.5385,0.51733,0.53275,26240580.6,13928650.36,19238
1529193600000,2018-06-17 0:00:00,XRP/USDT,0.53232,0.5437,0.51999,0.52617,33461820.8,17731742.41,18128
1529280000000,2018-06-18 0:00:00,XRP/USDT,0.52669,0.5535,0.50818,0.5387,33893328.6,17838659.68,25331
1529366400000,2018-06-19 0:00:00,XRP/USDT,0.53835,0.56185,0.5207,0.54834,28857265.3,15666561.3,20714
1529452800000,2018-06-20 0:00:00,XRP/USDT,0.54833,0.55188,0.52065,0.53916,34683099,18569764.37,23483
1529539200000,2018-06-21 0:00:00,XRP/USDT,0.53919,0.549,0.52899,0.53457,29891909.8,16084409.98,19507
1529625600000,2018-06-22 0:00:00,XRP/USDT,0.5342,0.53506,0.46859,0.48216,41843180.71,21054452.1,31757
1529712000000,2018-06-23 0:00:00,XRP/USDT,0.48287,0.49909,0.47333,0.49005,27230808.7,13211906.74,18211
1529798400000,2018-06-24 0:00:00,XRP/USDT,0.48963,0.51,0.43724,0.47331,41451907.36,19228982.69,32181
1529884800000,2018-06-25 0:00:00,XRP/USDT,0.47418,0.4992,0.47123,0.48125,31726495.2,15210518.56,21583
1529971200000,2018-06-26 0:00:00,XRP/USDT,0.48125,0.48241,0.4511,0.453,17670678,8310814.136,12386
1530057600000,2018-06-27 0:00:00,XRP/USDT,0.45218,0.47518,0.44787,0.4701,29671588.2,13726173.83,17841
1530144000000,2018-06-28 0:00:00,XRP/USDT,0.47042,0.47396,0.442,0.44575,35784353.9,16443331.07,19786
1530230400000,2018-06-29 0:00:00,XRP/USDT,0.4463,0.46124,0.42393,0.45321,37535516.8,16486127.91,24570
1530316800000,2018-06-30 0:00:00,XRP/USDT,0.45346,0.48318,0.45312,0.46796,37495051.8,17496283.25,22107
1530403200000,2018-07-01 0:00:00,XRP/USDT,0.46797,0.46989,0.45007,0.46222,31676174.1,14527131.72,16731
1530489600000,2018-07-02 0:00:00,XRP/USDT,0.46222,0.4954,0.452,0.4899,39873781.8,18861835.88,24340
1530576000000,2018-07-03 0:00:00,XRP/USDT,0.48913,0.52,0.47801,0.4844,44333181.6,22062745.01,28822
1530662400000,2018-07-04 0:00:00,XRP/USDT,0.48469,0.508,0.47941,0.49097,26722886.3,13200046.15,16907
1530748800000,2018-07-05 0:00:00,XRP/USDT,0.49155,0.50295,0.46887,0.4769,30689285.9,14877622.13,20079
1530835200000,2018-07-06 0:00:00,XRP/USDT,0.47772,0.48156,0.45747,0.47698,26805008.7,12625528.91,17487
1530921600000,2018-07-07 0:00:00,XRP/USDT,0.47644,0.488,0.46381,0.48494,28584029.2,13447638.64,14854
1531008000000,2018-07-08 0:00:00,XRP/USDT,0.4852,0.48798,0.4751,0.47915,31480979.3,15227900.93,17034
1531094400000,2018-07-09 0:00:00,XRP/USDT,0.47872,0.48201,0.47015,0.473,26690553.6,12722388.76,15248
1531180800000,2018-07-10 0:00:00,XRP/USDT,0.4728,0.47338,0.43866,0.44337,30651668.1,13915044.93,19920
1531267200000,2018-07-11 0:00:00,XRP/USDT,0.44247,0.45134,0.43957,0.44872,28635928.2,12781404.23,16031
1531353600000,2018-07-12 0:00:00,XRP/USDT,0.449,0.44932,0.4236,0.43675,30380599.5,13249846.55,16925
1531440000000,2018-07-13 0:00:00,XRP/USDT,0.43706,0.44509,0.43001,0.43754,33168644.3,14593937.36,18301
1531526400000,2018-07-14 0:00:00,XRP/USDT,0.43761,0.4443,0.431,0.43864,27141582.3,11872724.62,13496
