unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1596322800000,2020-08-01 23:00:00,BNB/USDT,21.59,21.6499,21.4,21.6168,64522.64,1390137.571,6052
1596326400000,2020-08-02 0:00:00,BNB/USDT,21.6204,21.7216,21.431,21.5604,90510.25,1955451.034,7904
1596330000000,2020-08-02 1:00:00,BNB/USDT,21.5648,22,21.5445,21.948,211148.45,4604213.215,10207
1596333600000,2020-08-02 2:00:00,BNB/USDT,21.95,21.9873,21.7,21.8493,176879.8,3870645.151,9421
1596337200000,2020-08-02 3:00:00,BNB/USDT,21.8486,22.1832,21.6851,22.0964,236465.98,5189766.887,13884
1596340800000,2020-08-02 4:00:00,BNB/USDT,22.0964,22.1466,19.1,20.0141,765939.04,15786188.56,43129
1596344400000,2020-08-02 5:00:00,BNB/USDT,20.0003,20.8,19.8966,20.6727,401042.49,8215268.205,22423
1596348000000,2020-08-02 6:00:00,BNB/USDT,20.6859,20.7113,20.5335,20.59,98243.93,2026119.463,8675
1596351600000,2020-08-02 7:00:00,BNB/USDT,20.59,21.0069,20.4716,20.8775,146911.69,3047351.238,10313
1596355200000,2020-08-02 8:00:00,BNB/USDT,20.8763,20.9477,20.7,20.8113,119539.08,2491504.228,8502
1596358800000,2020-08-02 9:00:00,BNB/USDT,20.8165,20.8879,20.64,20.8366,82432.13,1713515.384,7480
1596362400000,2020-08-02 10:00:00,BNB/USDT,20.8443,20.8639,20.4873,20.6274,82667.38,1707801.799,6957
1596366000000,2020-08-02 11:00:00,BNB/USDT,20.6346,20.6792,19.77,20.1747,201354.85,4059023.503,14656
1596369600000,2020-08-02 12:00:00,BNB/USDT,20.1744,20.3609,20.0277,20.0699,97833.62,1976838.025,8399
1596373200000,2020-08-02 13:00:00,BNB/USDT,20.0698,20.3862,20.0472,20.3662,65059.31,1318711.604,5077
1596376800000,2020-08-02 14:00:00,BNB/USDT,20.3699,20.5285,20.22,20.4262,55690.52,1136135.616,5315
1596380400000,2020-08-02 15:00:00,BNB/USDT,20.4329,20.52,20.3486,20.3689,36985.25,755957.6541,3939
1596384000000,2020-08-02 16:00:00,BNB/USDT,20.3685,20.7385,20.353,20.7299,54287.81,1117164.096,5996
1596387600000,2020-08-02 17:00:00,BNB/USDT,20.7299,20.91,20.555,20.91,69294.24,1440089.043,5880
1596391200000,2020-08-02 18:00:00,BNB/USDT,20.91,20.968,20.7745,20.9216,66634.39,1391929.05,4822
1596394800000,2020-08-02 19:00:00,BNB/USDT,20.9152,20.968,20.6644,20.8446,64153.34,1337200.491,4452
1596398400000,2020-08-02 20:00:00,BNB/USDT,20.8459,20.9241,20.6666,20.67,52472.1,1093505.763,4474
1596402000000,2020-08-02 21:00:00,BNB/USDT,20.6877,20.8995,20.6123,20.8646,48713.33,1012028.796,4077
1596405600000,2020-08-02 22:00:00,BNB/USDT,20.8645,20.9327,20.7266,20.7427,33439.01,697321.8207,3164
1596409200000,2020-08-02 23:00:00,BNB/USDT,20.7426,21.0252,20.7161,20.9898,95199.47,1991190.102,5588
1596412800000,2020-08-03 0:00:00,BNB/USDT,20.9899,21.2549,20.7,21.1091,155594.54,3273248.356,10704
1596416400000,2020-08-03 1:00:00,BNB/USDT,21.1105,21.182,21.0321,21.155,96383.65,2035136.623,6226
