unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1596322800000,2020-08-01 23:00:00,BTC/USDT,11783.31,11820.61,11731.71,11801.17,2194.598589,25849742.13,37272
1596326400000,2020-08-02 0:00:00,BTC/USDT,11801.17,11857,11740,11782.63,2872.638184,33906617.41,47209
1596330000000,2020-08-02 1:00:00,BTC/USDT,11782.63,11942.55,11772.13,11942.55,3707.136801,44004705.94,55304
1596333600000,2020-08-02 2:00:00,BTC/USDT,11942.54,11965.01,11892.88,11928.58,3785.415559,45157950.45,51092
1596337200000,2020-08-02 3:00:00,BTC/USDT,11928.4,12000,11870,12000,3746.422743,44731714.59,59258
1596340800000,2020-08-02 4:00:00,BTC/USDT,11999.96,12123.46,10518.5,11169.84,21611.39775,245741865.6,226807
1596344400000,2020-08-02 5:00:00,BTC/USDT,11170.8,11410.4,11111.88,11252.14,9098.57957,102672449.4,137266
1596348000000,2020-08-02 6:00:00,BTC/USDT,11251.76,11320,11202,11293.33,3609.675201,40731553.26,69200
1596351600000,2020-08-02 7:00:00,BTC/USDT,11293.33,11371.51,11254.36,11323.78,3704.525575,41987500.58,58772
1596355200000,2020-08-02 8:00:00,BTC/USDT,11325.95,11342.83,11263.13,11281.8,3374.27894,38159485.82,55216
1596358800000,2020-08-02 9:00:00,BTC/USDT,11281.64,11315,11227.24,11306.81,2514.934112,28373101.05,39761
1596362400000,2020-08-02 10:00:00,BTC/USDT,11305.41,11319.95,11122.01,11251.3,3366.173665,37819339.46,52992
1596366000000,2020-08-02 11:00:00,BTC/USDT,11251.31,11271.79,10931,11109.86,7149.787475,79324987.17,91331
1596369600000,2020-08-02 12:00:00,BTC/USDT,11105.54,11173.76,10960,10996.25,4328.207766,47949280.11,68754
1596373200000,2020-08-02 13:00:00,BTC/USDT,10993.39,11133.47,10979.91,11109.44,2670.61595,29605369.85,47171
1596376800000,2020-08-02 14:00:00,BTC/USDT,11109.43,11179.1,11059.84,11137.37,2570.403267,28595971.01,43965
1596380400000,2020-08-02 15:00:00,BTC/USDT,11137.44,11152.46,11072.89,11083.63,2108.114309,23437919.49,37035
1596384000000,2020-08-02 16:00:00,BTC/USDT,11083.62,11212.89,11064.01,11201.24,3067.643175,34218179.85,47688
1596387600000,2020-08-02 17:00:00,BTC/USDT,11201.86,11283.41,11170,11263.07,2748.460771,30856082.15,48718
1596391200000,2020-08-02 18:00:00,BTC/USDT,11263.07,11268.92,11198.48,11229.05,1871.965539,21036184.69,34210
