unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596322800000,2020-08-01 23:00:00,ETH/USDT,387.33,388.07,384.08,387,34081.85798,13169148.53,18434
1596326400000,2020-08-02 0:00:00,ETH/USDT,387.01,392,385.6,388.07,53049.56447,20619941.69,27170
1596330000000,2020-08-02 1:00:00,ETH/USDT,388.08,399.36,387.66,399.29,102905.3999,40661299.34,43315
1596333600000,2020-08-02 2:00:00,ETH/USDT,399.3,399.54,394.7,397.17,51709.20002,20523681.95,25160
1596337200000,2020-08-02 3:00:00,ETH/USDT,397.19,408,395,407.41,97039.87145,38952090.35,36913
1596340800000,2020-08-02 4:00:00,ETH/USDT,407.35,415.85,325,372.15,435771.1652,166093248.9,148273
1596344400000,2020-08-02 5:00:00,ETH/USDT,372.37,385,365.47,370.32,215597.5091,81027837.12,93972
1596348000000,2020-08-02 6:00:00,ETH/USDT,370.37,374.92,367.14,373.3,84145.83424,31209072.22,47692
1596351600000,2020-08-02 7:00:00,ETH/USDT,373.3,382.62,371.31,380.21,89553.0759,33924937.3,41301
1596355200000,2020-08-02 8:00:00,ETH/USDT,380.29,381.5,373.15,375.33,61112.36351,23140980.06,31007
1596358800000,2020-08-02 9:00:00,ETH/USDT,375.4,378,371.8,377.77,46052.6909,17289029.35,25200
1596362400000,2020-08-02 10:00:00,ETH/USDT,377.79,378.62,370.09,372.7,63097.065,23607385.14,23974
1596366000000,2020-08-02 11:00:00,ETH/USDT,372.7,373.81,354.32,361.55,207922.1587,75334741.16,73079
1596369600000,2020-08-02 12:00:00,ETH/USDT,361.64,367.99,357.5,359.21,91010.15871,33048652.78,43482
1596373200000,2020-08-02 13:00:00,ETH/USDT,359.19,366.51,358.55,365.22,53199.52151,19356611.95,24334
1596376800000,2020-08-02 14:00:00,ETH/USDT,365.24,372.44,361.28,369.08,79586.09155,29236200.99,28696
1596380400000,2020-08-02 15:00:00,ETH/USDT,369.08,371.82,367,368.13,44699.3055,16514801.99,19059
