unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1596322800000,2020-08-01 23:00:00,LTC/USDT,61.87,61.9,61.12,61.65,26247.0777,1616467.738,2908
1596326400000,2020-08-02 0:00:00,LTC/USDT,61.65,62.05,60.55,61.2,71141.67936,4354816.749,8900
1596330000000,2020-08-02 1:00:00,LTC/USDT,61.19,62.05,61.1,61.83,56297.42017,3477625.731,7241
1596333600000,2020-08-02 2:00:00,LTC/USDT,61.84,63.6,61.64,63.38,90790.93033,5704335.181,10803
1596337200000,2020-08-02 3:00:00,LTC/USDT,63.4,65.17,62.94,64.91,91340.60148,5860298.388,11440
1596340800000,2020-08-02 4:00:00,LTC/USDT,64.87,64.9,51.79,56.83,350031.582,20799451.1,42531
1596344400000,2020-08-02 5:00:00,LTC/USDT,56.83,58.68,55,57.23,203657.8962,11690924.58,32912
1596348000000,2020-08-02 6:00:00,LTC/USDT,57.23,57.69,56.88,57.68,40355.61236,2311628.482,5544
1596351600000,2020-08-02 7:00:00,LTC/USDT,57.68,59.37,57.36,58.73,58493.09247,3420702.476,7586
1596355200000,2020-08-02 8:00:00,LTC/USDT,58.73,58.89,58.01,58.16,53060.19067,3104422.963,6410
1596358800000,2020-08-02 9:00:00,LTC/USDT,58.16,58.38,57.02,58.24,53382.92313,3084636.947,6364
1596362400000,2020-08-02 10:00:00,LTC/USDT,58.24,58.34,57.08,57.75,48726.66163,2808650.744,5227
1596366000000,2020-08-02 11:00:00,LTC/USDT,57.75,57.97,55.06,56.57,145296.6287,8200126.663,16948
1596369600000,2020-08-02 12:00:00,LTC/USDT,56.58,56.97,55.32,55.57,81212.60082,4574716.754,9505
1596373200000,2020-08-02 13:00:00,LTC/USDT,55.57,57.31,55.45,57.04,55931.91802,3164977.999,6173
1596376800000,2020-08-02 14:00:00,LTC/USDT,57.05,57.6,56.48,57.07,44582.14781,2543169.699,4898
1596380400000,2020-08-02 15:00:00,LTC/USDT,57.07,57.13,56.08,56.48,39955.15816,2265631.468,3908
1596384000000,2020-08-02 16:00:00,LTC/USDT,56.48,57.75,56.27,57.57,61976.74337,3536165.921,5774
1596387600000,2020-08-02 17:00:00,LTC/USDT,57.58,58,57.32,57.65,66947.7535,3862757.308,6418
1596391200000,2020-08-02 18:00:00,LTC/USDT,57.66,58.15,57.38,57.86,39431.6651,2277793.054,3709
1596394800000,2020-08-02 19:00:00,LTC/USDT,57.88,58.13,56.83,57.91,48532.00914,2792427.967,5219
1596398400000,2020-08-02 20:00:00,LTC/USDT,57.91,57.94,57.03,57.11,24341.25981,1399781.118,3264
1596402000000,2020-08-02 21:00:00,LTC/USDT,57.1,57.8,56.51,57.46,34048.95154,1949022.734,3993
1596405600000,2020-08-02 22:00:00,LTC/USDT,57.48,57.63,56.76,56.9,25485.27172,1457366.107,2696
1596409200000,2020-08-02 23:00:00,LTC/USDT,56.86,57.15,56.48,56.77,26169.89445,1486651.135,2710
1596412800000,2020-08-03 0:00:00,LTC/USDT,56.77,57.44,55.71,57.31,73820.85366,4177962.772,7490
1596416400000,2020-08-03 1:00:00,LTC/USDT,57.32,57.62,57.18,57.28,32977.31613,1893337.685,3283
1596420000000,2020-08-03 2:00:00,LTC/USDT,57.29,57.67,57.12,57.49,21383.115,1227383.986,2442
1596423600000,2020-08-03 3:00:00,LTC/USDT,57.52,57.61,57.06,57.22,24062.21274,1379601.336,2674
1596427200000,2020-08-03 4:00:00,LTC/USDT,57.22,57.58,57.21,57.37,13522.2855,776372.8673,1674
1596430800000,2020-08-03 5:00:00,LTC/USDT,57.37,57.9,57.29,57.8,17103.77138,983443.9696,1832
1596434400000,2020-08-03 6:00:00,LTC/USDT,57.79,58.34,57.58,57.77,32820.93005,1903224.355,3422
1596438000000,2020-08-03 7:00:00,LTC/USDT,57.76,57.99,57.65,57.77,17749.44483,1026490.096,2301
1596441600000,2020-08-03 8:00:00,LTC/USDT,57.74,57.86,57.42,57.57,20427.39719,1177534.069,2302
1596445200000,2020-08-03 9:00:00,LTC/USDT,57.58,57.84,57.05,57.16,20365.18449,1171028.275,2399
1596448800000,2020-08-03 10:00:00,LTC/USDT,57.17,57.72,56.84,57.62,20919.13267,1199065.57,2520
1596452400000,2020-08-03 11:00:00,LTC/USDT,57.61,58.28,57.45,58.24,35173.10395,2036649.098,3816
1596456000000,2020-08-03 12:00:00,LTC/USDT,58.23,58.24,57.74,58.08,24838.68003,1441307.072,2725
1596459600000,2020-08-03 13:00:00,LTC/USDT,58.07,58.94,58.07,58.72,31661.33868,1853108.71,3991
1596463200000,2020-08-03 14:00:00,LTC/USDT,58.72,59.27,58.57,58.93,66458.6315,3915322.023,6195
1596466800000,2020-08-03 15:00:00,LTC/USDT,58.93,59.21,58.13,58.87,53405.70081,3131590.326,5416
1596470400000,2020-08-03 16:00:00,LTC/USDT,58.88,60.03,58.47,58.73,77488.26018,4596029.236,9083
