unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1596322800000,2020-08-01 23:00:00,XRP/USDT,0.29387,0.29388,0.28839,0.29089,20421227,5950240.786,10755
1596326400000,2020-08-02 0:00:00,XRP/USDT,0.29089,0.29423,0.28927,0.29085,24221327.4,7058561.809,11871
1596330000000,2020-08-02 1:00:00,XRP/USDT,0.29084,0.29509,0.29018,0.29465,21380106.2,6275030.443,10559
1596333600000,2020-08-02 2:00:00,XRP/USDT,0.29464,0.315,0.29374,0.31217,58395375.2,17693453.17,26673
1596337200000,2020-08-02 3:00:00,XRP/USDT,0.31217,0.32562,0.308,0.32452,82957807.2,26279188.02,41032
1596340800000,2020-08-02 4:00:00,XRP/USDT,0.32443,0.32628,0.2476,0.27713,138231434.2,40762702.78,66349
1596344400000,2020-08-02 5:00:00,XRP/USDT,0.27713,0.29589,0.27713,0.2833,73930968.1,21298483.15,38637
1596348000000,2020-08-02 6:00:00,XRP/USDT,0.2833,0.28776,0.28021,0.28772,34982679.8,9926477.95,21259
1596351600000,2020-08-02 7:00:00,XRP/USDT,0.28772,0.30811,0.28509,0.30505,74798239.5,22348236.26,30621
1596355200000,2020-08-02 8:00:00,XRP/USDT,0.30504,0.3051,0.29113,0.29461,68041970.8,20308238.53,36662
1596358800000,2020-08-02 9:00:00,XRP/USDT,0.29453,0.29987,0.29012,0.29837,40297841.7,11879878.95,20199
1596362400000,2020-08-02 10:00:00,XRP/USDT,0.29838,0.29997,0.28,0.29348,42220438.4,12361496.54,19157
1596366000000,2020-08-02 11:00:00,XRP/USDT,0.29348,0.29511,0.27477,0.28206,73482250.4,20849429.8,35332
1596369600000,2020-08-02 12:00:00,XRP/USDT,0.2821,0.28479,0.27208,0.27491,49861831.4,13990695.98,24279
1596373200000,2020-08-02 13:00:00,XRP/USDT,0.27477,0.28558,0.27386,0.28447,35977484.1,10097916.52,17828
1596376800000,2020-08-02 14:00:00,XRP/USDT,0.28446,0.29154,0.28106,0.29002,35309786.5,10121235.77,16861
1596380400000,2020-08-02 15:00:00,XRP/USDT,0.29002,0.2908,0.28481,0.28599,25169180.6,7247169.566,11372
1596384000000,2020-08-02 16:00:00,XRP/USDT,0.28598,0.2996,0.28497,0.29883,50234068.3,14695277.47,21430
1596387600000,2020-08-02 17:00:00,XRP/USDT,0.2988,0.29996,0.29437,0.29574,37573163.1,11159048.5,18922
1596391200000,2020-08-02 18:00:00,XRP/USDT,0.29573,0.2961,0.28919,0.29174,24589495.1,7205562.442,13198
1596394800000,2020-08-02 19:00:00,XRP/USDT,0.29171,0.29349,0.28138,0.28806,33454040.9,9611901.35,14904
1596398400000,2020-08-02 20:00:00,XRP/USDT,0.28809,0.28868,0.28321,0.28334,14865677.7,4255540.055,8254
1596402000000,2020-08-02 21:00:00,XRP/USDT,0.28343,0.2921,0.28285,0.29188,17429043,5022220.818,9753
1596405600000,2020-08-02 22:00:00,XRP/USDT,0.29188,0.29366,0.2863,0.28698,16348883.5,4748636.654,8971
1596409200000,2020-08-02 23:00:00,XRP/USDT,0.28711,0.28928,0.28483,0.28803,15956005.6,4586631.056,7816
1596412800000,2020-08-03 0:00:00,XRP/USDT,0.28809,0.29969,0.28357,0.29725,40244338.4,11795954.74,19460
1596416400000,2020-08-03 1:00:00,XRP/USDT,0.29728,0.2998,0.29349,0.2943,21442017,6360814.802,12352
1596420000000,2020-08-03 2:00:00,XRP/USDT,0.2943,0.29791,0.29421,0.29512,16478193.8,4879015.015,9801
1596423600000,2020-08-03 3:00:00,XRP/USDT,0.29511,0.29604,0.29105,0.2934,14637984.4,4295870.057,9217
1596427200000,2020-08-03 4:00:00,XRP/USDT,0.29338,0.29594,0.29335,0.2935,12268293.9,3612089.008,7764
1596430800000,2020-08-03 5:00:00,XRP/USDT,0.29357,0.297,0.29182,0.29643,13320794.6,3924072.523,8368
1596434400000,2020-08-03 6:00:00,XRP/USDT,0.2965,0.30431,0.29638,0.29966,36120014.3,10859688.54,17778
1596438000000,2020-08-03 7:00:00,XRP/USDT,0.29968,0.30304,0.29891,0.30028,20523837.2,6182805.785,10923
1596441600000,2020-08-03 8:00:00,XRP/USDT,0.3003,0.30213,0.29742,0.2989,17726084,5320654.68,10172
1596445200000,2020-08-03 9:00:00,XRP/USDT,0.29889,0.30202,0.2958,0.29642,23097831.2,6929600.948,12614
1596448800000,2020-08-03 10:00:00,XRP/USDT,0.29637,0.30133,0.29244,0.30106,26946354.9,8003234.789,14114
1596452400000,2020-08-03 11:00:00,XRP/USDT,0.30107,0.30776,0.29873,0.30529,43310467.4,13152237.08,19777
1596456000000,2020-08-03 12:00:00,XRP/USDT,0.30531,0.30531,0.30135,0.30393,20968218.1,6363123.943,11647
1596459600000,2020-08-03 13:00:00,XRP/USDT,0.30396,0.31391,0.30373,0.31085,45488909.9,14086633.06,20747
1596463200000,2020-08-03 14:00:00,XRP/USDT,0.31052,0.31839,0.30944,0.3125,53286859,16714420.96,23899
1596466800000,2020-08-03 15:00:00,XRP/USDT,0.31258,0.31583,0.30672,0.3119,41076812.5,12802462.54,19800
1596470400000,2020-08-03 16:00:00,XRP/USDT,0.31183,0.31774,0.30862,0.31017,50240486.1,15778416.48,24621
1596474000000,2020-08-03 17:00:00,XRP/USDT,0.31018,0.3173,0.30948,0.31611,22842385.6,7174177.056,12784
1596477600000,2020-08-03 18:00:00,XRP/USDT,0.31609,0.31999,0.31357,0.31991,23440827.5,7410299.785,11616
1596481200000,2020-08-03 19:00:00,XRP/USDT,0.31991,0.31998,0.31384,0.3174,26337189.6,8341166.061,12702
1596484800000,2020-08-03 20:00:00,XRP/USDT,0.31739,0.31849,0.31018,0.31288,25895702.2,8134335.831,12215
1596488400000,2020-08-03 21:00:00,XRP/USDT,0.31289,0.31503,0.30666,0.30827,18475709.4,5761241.82,11541
1596492000000,2020-08-03 22:00:00,XRP/USDT,0.30826,0.31301,0.30329,0.3072,24458461.9,7565104.757,13281
1596495600000,2020-08-03 23:00:00,XRP/USDT,0.30714,0.311,0.30435,0.31016,23370629.5,7198326.92,11167
1596499200000,2020-08-04 0:00:00,XRP/USDT,0.31008,0.31926,0.31003,0.31698,41925549.7,13284760.25,20523
1596502800000,2020-08-04 1:00:00,XRP/USDT,0.317,0.31773,0.31479,0.315,15163245.9,4796670.25,9110
1596506400000,2020-08-04 2:00:00,XRP/USDT,0.31499,0.31611,0.31068,0.31211,19074828.9,5979900.947,11106
1596510000000,2020-08-04 3:00:00,XRP/USDT,0.3121,0.3138,0.30773,0.31032,25221888.2,7836023.412,12114
1596513600000,2020-08-04 4:00:00,XRP/USDT,0.3103,0.31418,0.30902,0.31375,15762358.7,4912233.045,8887
1596517200000,2020-08-04 5:00:00,XRP/USDT,0.31376,0.31395,0.30936,0.31113,13930773.8,4337886.65,8266
1596520800000,2020-08-04 6:00:00,XRP/USDT,0.31114,0.31139,0.30573,0.30834,24816599.6,7645805.057,12092
1596524400000,2020-08-04 7:00:00,XRP/USDT,0.30832,0.31264,0.30784,0.31122,14963170.5,4650101.191,9510
1596528000000,2020-08-04 8:00:00,XRP/USDT,0.3112,0.31433,0.30894,0.30935,24845287.7,7751997.876,11036
1596531600000,2020-08-04 9:00:00,XRP/USDT,0.3094,0.31088,0.30744,0.31024,16380953.9,5067499.185,9156
1596535200000,2020-08-04 10:00:00,XRP/USDT,0.31023,0.31147,0.3078,0.30823,17495955,5420077.9,10304
1596538800000,2020-08-04 11:00:00,XRP/USDT,0.30829,0.31027,0.29358,0.29937,50883191.4,15434203.12,26073
1596542400000,2020-08-04 12:00:00,XRP/USDT,0.2994,0.30329,0.2977,0.3012,41668724.2,12521778.83,18042
1596546000000,2020-08-04 13:00:00,XRP/USDT,0.30121,0.30173,0.29038,0.29703,47753998.1,14136566.59,22082
1596549600000,2020-08-04 14:00:00,XRP/USDT,0.29699,0.30166,0.29562,0.30129,23676665.6,7076546.213,12310
1596553200000,2020-08-04 15:00:00,XRP/USDT,0.30135,0.30325,0.29975,0.30297,21904823.5,6609132.415,11018
1596556800000,2020-08-04 16:00:00,XRP/USDT,0.30298,0.30431,0.29701,0.29867,21312820.4,6398811.638,11914
1596560400000,2020-08-04 17:00:00,XRP/USDT,0.29861,0.30168,0.29838,0.30146,11552841,3469473.557,7378
1596564000000,2020-08-04 18:00:00,XRP/USDT,0.30142,0.30214,0.29854,0.29935,11046840.8,3316247.448,6664
1596567600000,2020-08-04 19:00:00,XRP/USDT,0.29935,0.29963,0.29602,0.2962,13652928.2,4063477.796,7454
1596571200000,2020-08-04 20:00:00,XRP/USDT,0.29624,0.30068,0.2962,0.29848,13580943.5,4062960.531,7159
1596574800000,2020-08-04 21:00:00,XRP/USDT,0.29846,0.30415,0.29837,0.30291,10354084.7,3120786.949,6690
1596578400000,2020-08-04 22:00:00,XRP/USDT,0.3029,0.30384,0.30133,0.30328,12520100.2,3789321.196,7129
1596582000000,2020-08-04 23:00:00,XRP/USDT,0.3033,0.3037,0.299,0.30138,14020737.5,4220995.854,7477
1596585600000,2020-08-05 0:00:00,XRP/USDT,0.30137,0.3026,0.29802,0.3002,12070571.8,3621385.185,7584
1596589200000,2020-08-05 1:00:00,XRP/USDT,0.30017,0.30032,0.29456,0.29651,20279236.9,6017508.531,10621
1596592800000,2020-08-05 2:00:00,XRP/USDT,0.29656,0.29724,0.2908,0.29351,25190420.5,7396530.346,12978
1596596400000,2020-08-05 3:00:00,XRP/USDT,0.29353,0.29655,0.29343,0.29601,11767870.1,3471604.864,7916
1596600000000,2020-08-05 4:00:00,XRP/USDT,0.29601,0.29819,0.29601,0.29735,11201297.8,3326609.996,6352
1596603600000,2020-08-05 5:00:00,XRP/USDT,0.2973,0.29744,0.2929,0.29694,13233924.5,3909273.339,7882
1596607200000,2020-08-05 6:00:00,XRP/USDT,0.29697,0.29914,0.29651,0.29708,14853525,4429234.739,7717
1596610800000,2020-08-05 7:00:00,XRP/USDT,0.29707,0.29956,0.29694,0.29776,8979879.2,2678624.173,5551
1596614400000,2020-08-05 8:00:00,XRP/USDT,0.29777,0.30059,0.29725,0.29864,12945911.9,3871362.644,7447
1596618000000,2020-08-05 9:00:00,XRP/USDT,0.29863,0.30312,0.29827,0.30254,16908062.1,5084289.113,9107
1596621600000,2020-08-05 10:00:00,XRP/USDT,0.30253,0.30358,0.30102,0.30103,15600523.3,4714502.865,8215
